year,duration,rating,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
1975,124,8.1,690000,87.0,7000000,7061513,477916625
1975,100,7.4,174000,65.0,1200000,0,115827018
1975,133,8.7,1100000,84.0,3000000,0,109115366
1975,125,8.0,281000,86.0,1800000,0,50004527
1975,110,6.4,15000,65.0,4000000,0,49407734
1975,113,7.0,31000,61.0,5000000,0,41833423
1975,100,6.4,6800,59.0,0,0,36853000
1975,111,6.6,23000,66.0,5000000,0,34279846
1975,117,7.4,65000,63.0,20000000,0,27476252
1975,118,5.2,1400,0,13000000,0,24441725
1975,107,6.7,6900,60.0,5000000,0,20642922
1975,85,7.6,42000,89.0,3000000,0,20123742
1975,97,6.3,12000,60.0,0,0,20000000
1975,129,6.4,23000,61.0,9000000,0,14200000
1975,119,6.7,22000,68.0,4340000,0,12484444
1975,104,7.3,605,0,230000,0,11000000
1975,160,7.6,30000,96.0,2200000,0,9995555
1975,99,5.2,2800,42.0,0,0,3602023
1975,91,8.2,585000,91.0,229575,45487,2817496
1975,118,5.3,1500,0,6000000,0,1500000
1975,126,7.4,27000,90.0,0,24157,769503
1975,84,3.3,4800,0,300000,0,293053
1975,115,7.4,43000,81.0,440000,27492,143459
1975,91,6.5,4500,0,320000,14532,51264
1975,95,7.5,16000,83.0,0,13845,38384
1975,107,7.9,55000,82.0,622000,11537,124367
1975,109,7.0,4900,0,0,5370,19120
1975,116,7.7,6700,0,0,1536,12619
1975,124,7.6,7100,0,450000,11623,8148
1975,108,7.5,2300,0,750000,11623,8148
1975,96,7.2,9400,0,0,11206,509
1975,185,8.1,192000,89.0,11000000,0,280093
1975,106,5.9,5400,47.0,100000,0,0
1975,125,6.5,31000,56.0,6000000,0,0
1975,80,6.2,32000,58.0,300000,0,0
1975,202,7.5,16000,94.0,0,0,40514
1975,129,7.7,53000,91.0,8000000,0,12678
1975,87,6.3,25000,58.0,185000,0,0
1975,127,7.5,45000,89.0,0,0,67532
1975,132,6.6,6200,67.0,4000000,0,0
1975,91,6.4,20000,68.0,400000,0,0
1975,93,7.2,13000,69.0,2700000,0,0
1975,95,7.0,10000,70.0,2500000,0,0
1975,119,6.8,11000,67.0,4000000,0,0
1975,108,6.5,6500,48.0,2700000,0,0
1975,142,8.2,35000,0,4000000,0,14480
1975,107,7.1,5800,72.0,750000,0,0
1975,144,6.9,6700,61.0,0,0,42
1975,86,5.1,5300,28.0,0,0,1800000
1975,113,7.1,2700,79.0,1300000,0,0
1975,90,5.6,7100,67.0,100000,0,0
1975,96,6.1,4900,44.0,1000000,0,0
1975,135,7.4,5500,0,650000,0,13899
1975,106,6.6,2000,0,535000,0,684
1975,120,6.2,3100,77.0,3050000,0,465788
1975,88,5.7,3300,58.0,3500000,0,0
1975,53,6.3,3500,77.0,37000,0,0
1975,83,7.1,3600,88.0,89951,0,3333
1975,120,6.1,2800,0,254542,0,9308
1977,121,8.6,1500000,90.0,11000000,1554475,775398507
1977,138,7.6,225000,90.0,20000000,1767758,306889114
