title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"Jaws",1975,124,690000,87.0,7000000,7061513,477916625
"The Rocky Horror Picture Show",1975,100,174000,65.0,1200000,0,115827018
"One Flew Over the Cuckoo's Nest",1975,133,1100000,84.0,3000000,0,109115366
"Dog Day Afternoon",1975,125,281000,86.0,1800000,0,50004527
"Shampoo",1975,110,15000,65.0,4000000,0,49407734
"The Return of the Pink Panther",1975,113,31000,61.0,5000000,0,41833423
"The Apple Dumpling Gang",1975,100,6800,59.0,0,0,36853000
"Tommy",1975,111,23000,66.0,5000000,0,34279846
"Three Days of the Condor",1975,117,65000,63.0,20000000,0,27476252
"Lucky Lady",1975,118,1400,0,13000000,0,24441725
"The Great Waldo Pepper",1975,107,6900,60.0,5000000,0,20642922
"Love and Death",1975,85,42000,89.0,3000000,0,20123742
"Escape to Witch Mountain",1975,97,12000,60.0,0,0,20000000
"The Eiger Sanction",1975,129,23000,61.0,9000000,0,14200000
"French Connection II",1975,119,22000,68.0,4340000,0,12484444
"Give 'em Hell, Harry!",1975,104,605,0,230000,0,11000000
"Nashville",1975,160,30000,96.0,2200000,0,9995555
"Bug",1975,99,2800,42.0,0,0,3602023
"Monty Python and the Holy Grail",1975,91,585000,91.0,229575,45487,2817496
"At Long Last Love",1975,118,1500,0,6000000,0,1500000
"The Passenger",1975,126,27000,90.0,0,24157,769503
"The Giant Spider Invasion",1975,84,4800,0,300000,0,293053
"Picnic at Hanging Rock",1975,115,43000,81.0,440000,27492,143459
"Switchblade Sisters",1975,91,4500,0,320000,14532,51264
"Grey Gardens",1975,95,16000,83.0,0,13845,38384
"Mirror",1975,107,55000,82.0,622000,11537,124367
"That Most Important Thing: Love",1975,109,4900,0,0,5370,19120
"Seven Beauties",1975,116,6700,0,0,1536,12619
"Fox and His Friends",1975,124,7100,0,450000,11623,8148
"Mother Kusters Goes to Heaven",1975,108,2300,0,750000,11623,8148
"The Story of Adele H",1975,96,9400,0,0,11206,509
"Barry Lyndon",1975,185,192000,89.0,11000000,0,280093
"Supervixens",1975,106,5400,47.0,100000,0,0
"Rollerball",1975,125,31000,56.0,6000000,0,0
"Death Race 2000",1975,80,32000,58.0,300000,0,0
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,202,16000,94.0,0,0,40514
"The Man Who Would Be King",1975,129,53000,91.0,8000000,0,12678
"Shivers",1975,87,25000,58.0,185000,0,0
"Deep Red",1975,127,45000,89.0,0,0,67532
"Bite the Bullet",1975,132,6200,67.0,4000000,0,0
"A Boy and His Dog",1975,91,20000,68.0,400000,0,0
"Hard Times",1975,93,13000,69.0,2700000,0,0
"Farewell, My Lovely",1975,95,10000,70.0,2500000,0,0
"The Wind and the Lion",1975,119,11000,67.0,4000000,0,0
"The Drowning Pool",1975,108,6500,48.0,2700000,0,0
"Dersu Uzala",1975,142,35000,0,4000000,0,14480
"Cooley High",1975,107,5800,72.0,750000,0,0
"The Day of the Locust",1975,144,6700,61.0,0,0,42
"The Devil's Rain",1975,86,5300,28.0,0,0,1800000
"Smile",1975,113,2700,79.0,1300000,0,0
"Dolemite",1975,90,7100,67.0,100000,0,0
"Breakout",1975,96,4900,44.0,1000000,0,0
"The Magic Flute",1975,135,5500,0,650000,0,13899
"The Man from Hong Kong",1975,106,2000,0,535000,0,684
"Hustle",1975,120,3100,77.0,3050000,0,465788
"The Fortune",1975,88,3300,58.0,3500000,0,0
"The Amusement Park",1975,53,3500,77.0,37000,0,0
"Overlord",1975,83,3600,88.0,89951,0,3333
"India Song",1975,120,2800,0,254542,0,9308
"Star Wars: Episode IV - A New Hope",1977,121,1500000,90.0,11000000,1554475,775398507
"Close Encounters of the Third Kind",1977,138,225000,90.0,20000000,1767758,306889114
"Smokey and the Bandit",1977,96,59000,50.0,4300000,0,126750426
"Saturday Night Fever",1977,118,91000,77.0,3000000,3878099,237113184
"The Rescuers",1977,77,72000,74.0,7500000,2111582,71215869
"A Bridge Too Far",1977,175,64000,63.0,27000000,0,50750000
"The Deep",1977,123,14000,41.0,9000000,6835540,47346365
"The Spy Who Loved Me",1977,125,120000,55.0,13500000,0,46876386
"Oh, God!",1977,98,11000,56.0,0,2040920,41687243
"Pete's Dragon",1977,128,27000,46.0,10000000,0,39588000
"Annie Hall",1977,93,283000,92.0,4000000,0,38289445
"Semi-Tough",1977,108,3700,68.0,5700000,0,37187139
"Heroes",1977,112,2200,35.0,3200000,0,33500000
"High Anxiety",1977,94,25000,55.0,4015000,0,31063038
